congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
118,House,21995,93,0.0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947.0,,0.336,0.20800000000000002,-46.525259999999996,0.75558,166.0,21.0,,0.32299999999999995,0.18,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,80.46479591836746,395.0
118,House,20305,61,7.0,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,,-0.598,-0.264,-34.93078,0.95021,684.0,15.0,,-0.573,-0.39,Democrat,217,-0.389,-0.032,-0.38743317972350216,-0.03399539170506913,97.09500000000003,772.0
118,House,21103,61,9.0,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.6990000000000001,-0.499,-47.8247,0.93304,690.0,16.0,,0.754,-0.657,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,95.55242857142865,772.0
118,House,21105,61,1.0,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.561,-0.251,-182.10993,0.76949,695.0,60.0,,0.48700000000000004,-0.177,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,89.52428571428567,772.0
118,House,21502,61,3.0,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.418,0.069,-56.456790000000005,0.90933,594.0,22.0,,-0.298,0.192,Democrat,217,-0.389,-0.032,-0.38743317972350216,-0.03399539170506913,96.22085714285724,772.0
118,House,21705,61,5.0,AZ,200,,,"BIGGS, Andrew S.",B001302,1958.0,,0.8270000000000001,-0.562,-81.75605999999999,0.88902,695.0,36.0,,0.703,-0.711,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,94.05014285714286,772.0
118,House,21757,61,8.0,AZ,200,,,"LESKO, Debbie",L000589,1958.0,,0.614,-0.077,-65.46531999999999,0.90055,625.0,29.0,,0.633,-0.012,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,93.37757142857139,772.0
118,House,21968,61,4.0,AZ,100,,,"STANTON, Greg",S001211,1970.0,,-0.284,0.247,-49.15772,0.9321799999999999,700.0,21.0,,-0.299,0.444,Democrat,217,-0.389,-0.032,-0.38743317972350216,-0.03399539170506913,95.59614285714287,772.0
118,House,22309,61,6.0,AZ,200,,,"CISCOMANI, Juan",C001133,1982.0,,0.302,0.7879999999999999,-41.03363,0.94226,690.0,20.0,,0.302,0.7879999999999999,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,95.57914285714293,772.0
118,House,22311,61,2.0,AZ,200,,,"CRANE, Eli",C001132,1980.0,,0.72,-0.6940000000000001,-66.01405,0.90876,690.0,30.0,,0.7190000000000001,-0.695,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,94.36871428571442,772.0
118,House,21106,42,1.0,AR,200,,,"CRAWFORD, Rick",C001087,1966.0,,0.457,0.32,-106.72643000000001,0.85708,692.0,40.0,,0.439,0.07200000000000001,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,90.52485714285716,772.0
118,House,21108,42,3.0,AR,200,,,"WOMACK, Steve",W000809,1957.0,,0.348,0.621,-54.730940000000004,0.92479,700.0,20.0,,0.361,0.866,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,94.49442857142859,772.0
118,House,21503,42,2.0,AR,200,,,"HILL, French",H001072,1956.0,,0.43700000000000006,0.27,-106.72561999999999,0.85765,695.0,45.0,,0.446,0.29600000000000004,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,90.20085714285713,772.0
118,House,21563,42,4.0,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967.0,,0.55,0.305,-69.34264,0.9053,697.0,35.0,,0.534,0.185,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,92.80914285714292,772.0
